,School,Zip Code,Grades,Local District,Board District,complete_address
523,South Gate Senior High,90280,9-12,E,5-Jackie Goldberg,3351 Firestone Blvd South Gate CA 90280
524,Camino Nuevo Charter Academy #2,90020,K- 8,XR,2-Monica Garcia,3400 W 3rd St Los Angeles CA 90020
525,Loreto Street Elementary,90065,K- 5,E,5-Jackie Goldberg,3408 Arroyo Seco Ave Los Angeles CA 90065
526,Glen Alta Elementary,90031,K- 8,E,2-Monica Garcia,3410 Sierra St Los Angeles CA 90031
527,ISANA Nascent Academy,90018,K- 8,XR,1-Dr George J McKenna III,3417 W Jefferson Blvd Los Angeles CA 90018
528,Ednovate-East College Prep,90071,9- 9,XR,2-Monica Garcia,350 S Figueroa St Los Angeles CA 90071
529,Animo Jackie Robinson,90007,9-12,XR,2-Monica Garcia,3500 S Hill St Los Angeles CA 90007
530,Camino Nuevo High School #2,90004,9-12,XR,2-Monica Garcia,3500 W Temple St Los Angeles CA 90004
531,Lincoln ESP Magnet,90031,9-12,E,2-Monica Garcia,3501 N Broadway Los Angeles CA 90031
532,Palms Elementary,90034,K- 5,W,1-Dr George J McKenna III,3520 Motor Ave Los Angeles CA 90034
533,Harrison Street Elementary,90063,K- 6,E,2-Monica Garcia,3529 City Terrace Dr Los Angeles CA 90063
534,Susan Miller Dorsey Senior High Law/Public Srv/Pol Srv Mag,90016,9-12,W,1-Dr George J McKenna III,3537 Farmdale Ave Los Angeles CA 90016
535,Dr Sammy Lee Elementary Medical and Health Science Magnet,90004,K- 5,C,2-Monica Garcia,3600 Council St Los Angeles CA 90004
536,Maple Primary Center,90011,K- 1,C,2-Monica Garcia,3601 S Maple Ave Los Angeles CA 90011
537,Angel's Gate Continuation High,90731,9-12,S,7-Dr Richard A Vladovic,3607 S Gaffey St San Pedro CA 90731
538,Loma Vista Elementary,90270,K- 5,E,5-Jackie Goldberg,3629 E 58th St Maywood CA 90270
539,Beethoven Street Elementary,90066,K- 5,W,4-Nick Melvoin,3711 Beethoven St Los Angeles CA 90066
540,Belvedere Elementary,90063,K- 5,E,2-Monica Garcia,3724 E First St Los Angeles CA 90063
541,Gabriella Charter 2,90011,K- 2,XR,2-Monica Garcia,3736 Trinity St Los Angeles CA 90011
542,Dr Theodore T Alexander Jr Science Center School,90007,K- 5,C,1-Dr George J McKenna III,3737 S Figueroa St Los Angeles CA 90007
543,Foshay Learning Center,90018,K-12,C,1-Dr George J McKenna III,3751 S Harvard Blvd Los Angeles CA 90018
544,Magnolia Science Academy #6,90034,6- 8,XR,1-Dr George J McKenna III,3754 Dunn Dr Los Angeles CA 90034
545,KIPP Pueblo Unido,90270,K- K,XR,-,3759 E 57th St Maywood CA 90270
546,New Academy of Science & Arts,90017,K- 5,XR,2-Monica Garcia,379 S Loma Dr Los Angeles CA 90017
547,Corona Avenue Elementary,90201,1- 5,E,5-Jackie Goldberg,3825 Bell Ave Bell CA 90201
548,El Sereno Elementary,90032,K- 6,E,5-Jackie Goldberg,3838 Rosemead Ave Los Angeles CA 90032
549,Thomas Bradley Global Awareness Magnet,90008,K- 5,W,1-Dr George J McKenna III,3875 Dublin Ave Los Angeles CA 90008
550,Carpenter Community Charter,91604,K- 5,NE,3-Scott M Schmerelson,3909 Carpenter Ave Studio City CA 91604
551,Accelerated Charter Elementary,90037,K- 6,XR,2-Monica Garcia,3914 S Main St Los Angeles CA 90037
552,Ednovate - USC Hybrid High College Prep,90037,9-10,XR,2-Monica Garcia,3939 S Vermont Ave Los Angeles CA 90037
553,John Marshall Senior High Gifted Magnet,90027,9-12,C,5-Jackie Goldberg,3939 Tracy St Los Angeles CA 90027
554,Grand View Boulevard Elementary DL Two-Way Im Spanish,90066,K- 5,W,4-Nick Melvoin,3951 Grand View Blvd Los Angeles CA 90066
555,Glenfeliz Boulevard Elementary,90039,K- 6,C,5-Jackie Goldberg,3955 Glenfeliz Blvd Los Angeles CA 90039
556,James J McBride Special Education Center,90066,6-12,W,4-Nick Melvoin,3960 Centinela Ave Los Angeles CA 90066
557,Mount Washington Elementary,90065,K- 6,C,5-Jackie Goldberg,3981 San Rafael Ave Los Angeles CA 90065
558,Martin Luther King Jr Elementary,90062,K- 5,C,1-Dr George J McKenna III,3989 S Hobart Blvd Los Angeles CA 90062
559,Early College Academy - LA Trade Tech College,90015,9-12,C,2-Monica Garcia,400 W Washington Blvd Los Angeles CA 90015
560,Wallis Annenberg High School,90037,9-12,XR,7-Dr Richard A Vladovic,4000 S Main St Los Angeles CA 90037
561,Marlton School,90008,PK-12,W,1-Dr George J McKenna III,4000 Santo Tomas Dr Los Angeles CA 90008
562,City Language Immersion Charter,90019,K- 2,XR,1-Dr George J McKenna III,4001 Venice Blvd Los Angeles CA 90019
563,Ricardo Lizarraga Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,401 E 40th Pl Los Angeles CA 90011
564,Robert F Kennedy Elementary,90063,K- 6,E,5-Jackie Goldberg,4010 E Ramboz Drive Los Angeles CA 90063
565,Center for Advanced Learning,90011,K- 5,XR,5-Jackie Goldberg,4016 S Central Ave Los Angeles CA 90011
566,Hillcrest Drive Elementary,90008,K- 5,W,1-Dr George J McKenna III,4041 Hillcrest Dr Los Angeles CA 90008
567,122nd Street Elementary,90061,K- 5,S,7-Dr Richard A Vladovic,405 E 122nd St Los Angeles CA 90061
568,Wilshire Park Elementary School,90005,K- 5,W,2-Monica Garcia,4063 Ingraham St Los Angeles CA 90005
569,Johnnie L Cochran Jr Middle School,90019,6- 8,W,1-Dr George J McKenna III,4066 W Johnnie Cochran Vista Los Angeles CA 90019
570,Hancock Park Elementary,90036,K- 5,W,4-Nick Melvoin,408 S Fairfax Ave Los Angeles CA 90036
571,South Gate Middle School,90280,6- 8,E,5-Jackie Goldberg,4100 Firestone Blvd South Gate CA 90280
572,Rancho Dominguez Preparatory School,90810,6-12,S,7-Dr Richard A Vladovic,4110 Santa Fe Ave Long Beach CA 90810
573,Eastman Avenue Elementary,90023,K- 5,E,2-Monica Garcia,4112 E Olympic Blvd Los Angeles CA 90023
574,Stella Middle Charter Academy,90008,5- 8,XR,1-Dr George J McKenna III,4120 11th Av Los Angeles CA 90008
575,Audubon Middle School,90008,6- 8,W,1-Dr George J McKenna III,4120 11th Ave Los Angeles CA 90008
576,Manual Arts Senior High,90037,9-12,C,1-Dr George J McKenna III,4131 S Vermont Ave Los Angeles CA 90037
577,Global Education Academy,90037,K- 5,XR,1-Dr George J McKenna III,4141 S Figueroa St Los Angeles CA 90037
578,Menlo Avenue Elementary,90037,K- 5,C,1-Dr George J McKenna III,4156 Menlo Ave Los Angeles CA 90037
579,Sheridan Street Elementary,90033,K- 6,E,2-Monica Garcia,416 N Cornwell St Los Angeles CA 90033
580,Delevan Drive Elementary,90065,K- 6,C,5-Jackie Goldberg,4168 W Avenue 42 Los Angeles CA 90065
581,Charles W Barrett Elementary,90003,K- 5,S,1-Dr George J McKenna III,419 W 98th St Los Angeles CA 90003
582,4th Street Elementary,90022,2- 5,E,2-Monica Garcia,420 S Amalia Ave Los Angeles CA 90022
583,Thomas Starr King MS Env Sci/Tech/Engineering/Arts/Math Mag,90029,6- 8,C,5-Jackie Goldberg,4201 Fountain Ave Los Angeles CA 90029
584,Canyon Charter Elementary,90402,K- 5,W,4-Nick Melvoin,421 Entrada Dr Santa Monica CA 90402
585,Rosemont Avenue Elementary,90026,2- 5,C,2-Monica Garcia,421 N Rosemont Ave Los Angeles CA 90026
586,Esteban Torres HS - East Los Angeles Performing Arts Magnet,90063,9-12,E,2-Monica Garcia,4211 Dozier St Los Angeles CA 90063
587,Alexandria Avenue Elementary DL Two-Way Im Spanish,90004,K- 1,C,2-Monica Garcia,4211 Oakwood Av Los Angeles CA 90004
588,Alexandria Avenue Elementary,90004,K- 5,C,2-Monica Garcia,4211 Oakwood Ave Los Angeles CA 90004
589,Marianna Avenue Elementary,90063,K- 6,E,2-Monica Garcia,4215 E Gleason St Los Angeles CA 90063
590,Dixie Canyon Community Charter,91423,K- 5,NE,3-Scott M Schmerelson,4220 Dixie Canyon Ave Sherman Oaks CA 91423
591,Barton Hill Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,423 N Pacific Ave San Pedro CA 90731
592,42nd Street Elementary,90008,K- 5,W,1-Dr George J McKenna III,4231 4th Ave Los Angeles CA 90008
593,Lanai Road Elementary,91436,K- 5,NW,4-Nick Melvoin,4241 Lanai Rd Encino CA 91436
594,Teresa P Hughes Elementary,90201,K- 6,E,5-Jackie Goldberg,4242 Clara St Cudahy CA 90201
595,Rio Vista Elementary,91602,K- 5,NE,3-Scott M Schmerelson,4243 Satsuma Ave North Hollywood CA 91602
596,Bandini Street Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,425 N Bandini St San Pedro CA 90731
597,Latona Avenue Elementary,90031,K- 6,E,2-Monica Garcia,4312 Berenice Ave Los Angeles CA 90031
598,West Vernon Avenue Elementary,90037,K- 5,C,7-Dr Richard A Vladovic,4312 S Grand Ave Los Angeles CA 90037
599,Bell Senior High Gifted Science/Tech/Eng/Math Magnet,90201,9-12,E,5-Jackie Goldberg,4328 Bell Ave Bell CA 90201
600,Sierra Vista Elementary,90032,K- 6,E,5-Jackie Goldberg,4342 Alpha St Los Angeles CA 90032
601,Lockwood Avenue Elementary,90029,K- 6,C,5-Jackie Goldberg,4345 Lockwood Ave Los Angeles CA 90029
602,City Terrace Elementary DL Two-Way Im Mandarin,90063,K- 5,E,5-Jackie Goldberg,4350 City Terrace Dr Los Angeles CA 90063
603,Animo Ellen Ochoa Middle School,90022,6- 8,XR,2-Monica Garcia,4360 Dozier St Los Angeles CA 90022
604,Coliseum Street Elementary,90016,K- 5,W,1-Dr George J McKenna III,4400 Coliseum St Los Angeles CA 90016
605,George Washington Carver Middle School,90011,6- 8,C,5-Jackie Goldberg,4410 Mc Kinley Ave Los Angeles CA 90011
606,Marguerite Poindexter LaMotte Elementary,90037,K- 5,C,1-Dr George J McKenna III,4410 Orchard Ave Los Angeles CA 90037
607,KIPP Vida Preparatory Academy,90037,K- 4,XR,1-Dr George J McKenna III,4410 S Budlong Ave Los Angeles CA 90037
608,Nueva Vista Elementary,90201,K- 6,E,5-Jackie Goldberg,4412 Randolph St Bell CA 90201
609,Huntington Drive Elementary,90032,K- 6,E,2-Monica Garcia,4435 N Huntington Dr Los Angeles CA 90032
610,Jaime Escalante Elementary School,90201,K- 6,E,5-Jackie Goldberg,4443 Live Oak St Cudahy CA 90201
611,Bryson Avenue Elementary Science/Tech/Math Magnet,90280,1- 5,E,5-Jackie Goldberg,4470 Missouri Ave South Gate CA 90280
612,Inner City Education Foundation Vista Elementary Academy,90066,K- 5,XR,4-Nick Melvoin,4471 Inglewood Blvd Los Angeles CA 90066
613,Ramon C Cortines School of Visual & Performing Arts,90012,9-12,C,2-Monica Garcia,450 N Grand Ave Los Angeles CA 90012
614,Woodrow Wilson Senior High,90032,9-12,E,2-Monica Garcia,4500 Multnomah St Los Angeles CA 90032
615,Normandie Avenue Elementary,90037,K- 5,C,1-Dr George J McKenna III,4505 S Raymond Ave Los Angeles CA 90037
616,Walter Reed Middle School,91602,6- 8,NE,3-Scott M Schmerelson,4525 Irvine Ave North Hollywood CA 91602
617,Alfonso B Perez Special Education Center,90022,6-12,E,2-Monica Garcia,4540 Michigan Ave Los Angeles CA 90022
618,Toland Way Elementary,90041,K- 6,C,5-Jackie Goldberg,4545 Toland Way Los Angeles CA 90041
619,Theodore Roosevelt Senior High,90033,9-12,E,2-Monica Garcia,456 S Mathews St Los Angeles CA 90033
620,Lexington Avenue Primary Center,90029,K- 2,C,5-Jackie Goldberg,4564 W Lexington Ave Los Angeles CA 90029
621,Alliance Alice M Baxter College Ready High School,90731,9-12,XR,7-Dr Richard A Vladovic,461 W 9th St San Pedro CA 90731
622,Alliance P & P Neuwirth College Ready High School,90037,9-12,XR,7-Dr Richard A Vladovic,4610 S Main St Los Angeles CA 90037
623,Brooklyn Avenue Elementary,90022,K- 8,E,2-Monica Garcia,4620 Cesar Chavez Ave Los Angeles CA 90022
624,Los Angeles Senior High,90019,9-12,W,1-Dr George J McKenna III,4650 W Olympic Blvd Los Angeles CA 90019
625,Monterey Continuation High,90022,9-12,E,2-Monica Garcia,466 S Fraser Ave Los Angeles CA 90022
626,4th Street Primary Center,90022,K- 1,E,2-Monica Garcia,469 Amalia Ave Los Angeles CA 90022
627,View Park Continuation High,90016,9-12,W,1-Dr George J McKenna III,4701 Rodeo Rd Los Angeles CA 90016
628,Braddock Drive Elementary,90230,K- 5,W,4-Nick Melvoin,4711 Inglewood Blvd Culver City CA 90230
629,Anahuacalmecac Int Unv Prep of North America,90032,K-12,XR,2-Monica Garcia,4736 Huntington Dr S Los Angeles CA 90032
630,Para Los Ninos - Evelyn Thurman Gratts Primary,90017,K- 1,XR,2-Monica Garcia,474 S Hartford Ave Los Angeles CA 90017
631,Griffith Middle School STEAM Magnet,90022,6- 8,E,2-Monica Garcia,4765 E 4th St Los Angeles CA 90022
632,KIPP Iluminar Academy,90022,K- 1,XR,2-Monica Garcia,4800 E Cesar Chavez Ave Los Angeles CA 90022
633,Arroyo Seco Museum Science Magnet,90042,K- 8,C,2-Monica Garcia,4805 Sycamore Terr Los Angeles CA 90042
634,Elizabeth Learning Center,90201,K-12,E,5-Jackie Goldberg,4811 Elizabeth St Cudahy CA 90201
635,Toluca Lake Elementary,91601,K- 5,NE,4-Nick Melvoin,4840 Cahuenga Blvd North Hollywood CA 91601
636,Morris K Hamasaki El Medical/Science Magnet,90022,1- 5,E,2-Monica Garcia,4865 E 1st St Los Angeles CA 90022
637,Morris K Hamasaki Elementary,90022,K- 6,E,2-Monica Garcia,4865 E First St Los Angeles CA 90022
638,George de la Torre Jr Elementary,90744,K- 6,S,7-Dr Richard A Vladovic,500 N Island Ave Wilmington CA 90744
639,Humphreys Avenue Elementary,90022,K- 5,E,2-Monica Garcia,500 S Humphreys Ave Los Angeles CA 90022
640,Van Ness Avenue Elementary,90004,K- 5,W,4-Nick Melvoin,501 N Van Ness Ave Los Angeles CA 90004
641,Puente Charter,90033,K- K,XR,2-Monica Garcia,501 S Boyle Ave Los Angeles CA 90033
642,Crenshaw Magnets: Science Tech Engineer Math & Medicine,90043,9-12,W,1-Dr George J McKenna III,5010 11th Ave Los Angeles CA 90043
643,Serrania Avenue Charter for Enriched Studies,91364,K- 5,NW,4-Nick Melvoin,5014 Serrania Ave Woodland Hills CA 91364
644,Buchanan Street Elementary Science/Tech/Math Magnet,90042,K- 5,C,5-Jackie Goldberg,5024 Buchanan St Los Angeles CA 90042
645,Ellen Ochoa Learning Center,90201,K- 8,E,5-Jackie Goldberg,5027 Live Oak St Cudahy CA 90201
646,ICEF Innovation Los Angeles Charter,90037,K- 5,XR,1-Dr George J McKenna III,5029 S Vermont Ave Los Angeles CA 90037
647,Rosewood Avenue Elementary Urban Planning/Design Magnet,90048,K- 5,W,4-Nick Melvoin,503 N Croft Ave Los Angeles CA 90048
648,Robert A Millikan Charter MS Performing Arts Magnet,91423,6- 8,NE,3-Scott M Schmerelson,5041 Sunnyslope Ave Sherman Oaks CA 91423
649,Nestle Avenue Charter,91356,K- 5,NW,4-Nick Melvoin,5060 Nestle Ave Tarzana CA 91356
650,Dahlia Heights Elementary,90041,K- 6,C,5-Jackie Goldberg,5063 Floristan Ave Los Angeles CA 90041
651,Figueroa Street Elementary,90044,K- 5,S,7-Dr Richard A Vladovic,510 W 111th St Los Angeles CA 90044
652,James A Garfield Senior High,90022,9-12,E,2-Monica Garcia,5101 E 6th St Los Angeles CA 90022
653,California Collegiate Charter,90062,6- 7,XR,1-Dr George J McKenna III,5101 S Western Ave Los Angeles CA 90062
654,Holmes Avenue Elementary,90058,K- 6,E,5-Jackie Goldberg,5108 Holmes Ave Los Angeles CA 90058
655,Arts in Action Community Charter,90022,K- 5,XR,2-Monica Garcia,5115 Via Corona St Los Angeles CA 90022
656,Alliance Marc & Eva Stern Math & Science School,90032,9-12,XR,5-Jackie Goldberg,5151 State University Dr Lot2 Los Angeles CA 90032
657,KIPP Academy of Innovation,90022,5- 8,XR,2-Monica Garcia,5164 Whittier Blvd Los Angeles CA 90022
658,Maywood Elementary School,90270,K- 5,E,5-Jackie Goldberg,5200 Cudahy Ave Maywood CA 90270
659,Kingsley Elementary School,90029,K- 5,W,5-Jackie Goldberg,5200 W Virginia Ave Los Angeles CA 90029
660,Wilbur Charter for Enriched Academics,91356,K- 5,NW,4-Nick Melvoin,5213 Crebs Ave Tarzana CA 91356
661,Windsor Hills Elementary Math/Science Aerospace Magnet,90043,K- 5,W,1-Dr George J McKenna III,5215 Overdale Dr Los Angeles CA 90043
662,International Studies Learning Center,90280,6-12,E,5-Jackie Goldberg,5225 Tweedy Blvd South Gate CA 90280
663,North Hollywood Senior High,91601,9-12,NE,3-Scott M Schmerelson,5231 Colfax Ave North Hollywood CA 91601
664,Wilshire Crest Elementary,90036,K- 5,W,1-Dr George J McKenna III,5241 W Olympic Blvd Los Angeles CA 90036
665,Cesar Chavez Elementary School,90032,K- 6,E,2-Monica Garcia,5243 Oakland St Los Angeles CA 90032
666,Lankershim Elementary,91601,K- 5,NE,3-Scott M Schmerelson,5250 Bakman Ave North Hollywood CA 91601
667,ICEF View Park Preparatory MS,90043,6- 8,XR,1-Dr George J McKenna III,5311 Crenshaw Blvd Los Angeles CA 90043
668,ICEF View Park Preparatory ES,90043,K- 5,XR,1-Dr George J McKenna III,5311 S Crenshaw Blvd Los Angeles CA 90043
669,Kester Avenue Elementary,91411,K- 5,NE,3-Scott M Schmerelson,5353 Kester Ave Van Nuys CA 91411
670,Amelia Earhart Continuation High School,91601,9-12,NE,3-Scott M Schmerelson,5355 Colfax Ave North Hollywood CA 91601
671,Alliance Ouchi-O'Donovan 6-12 Complex,90043,6-12,XR,1-Dr George J McKenna III,5356 S 5th Ave Los Angeles CA 90043
672,Saturn Street Elementary,90019,K- 5,W,1-Dr George J McKenna III,5360 Saturn St Los Angeles CA 90019
673,Hawaiian Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,540 Hawaiian Ave Wilmington CA 90744
674,New Los Angeles Elementary School,90016,K- 2,XR,1-Dr George J McKenna III,5421 Obama Rd Los Angeles CA 90016
675,Baldwin Hills Elementary,90016,K- 5,W,1-Dr George J McKenna III,5421 Rodeo Rd Los Angeles CA 90016
676,Monte Vista Street Elementary,90042,1- 5,C,5-Jackie Goldberg,5423 Monte Vista St Los Angeles CA 90042
677,Henry David Thoreau Continuation High,91364,9-12,NW,4-Nick Melvoin,5429 Quakertown Ave Woodland Hills CA 91364
678,Bright Star Secondary Academy,90045,9-12,XR,1-Dr George J McKenna III,5431 W 98th St Los Angeles CA 90045
679,High Tech LA Middle,91411,6- 7,XR,6-Kelly Gonez,5435 Vesper Av Rm B50 Van Nuys CA 91411
680,Van Nuys Middle School,91411,6- 8,NE,3-Scott M Schmerelson,5435 Vesper Ave Van Nuys CA 91411
681,Boyle Heights Continuation High,90033,9-12,E,2-Monica Garcia,544 S Mathews St Los Angeles CA 90033
682,El Camino Real Charter High School,91367,9-12,XR,3-Scott M Schmerelson,5440 Valley Circle Blvd Woodland Hills CA 91367
683,Animo Westside Charter Middle School,90066,6- 8,XR,4-Nick Melvoin,5456 Mcconnell Ave Los Angeles CA 90066
684,William Howard Taft Charter High School,91364,9-12,NW,4-Nick Melvoin,5461 Winnetka Ave Woodland Hills CA 91364
685,54th Street Elementary,90043,K- 6,W,1-Dr George J McKenna III,5501 S Eileen Ave Los Angeles CA 90043
686,Bushnell Way Elementary DL Two-Way Im Spanish,90042,K- 1,C,5-Jackie Goldberg,5507 Bushnell Way Los Angeles CA 90042
687,East Valley Senior High,91601,9-12,NE,6-Kelly Gonez,5525 Vineland Ave North Hollywood CA 91601
688,Richard Riordan Primary Center,90042,K- 1,C,5-Jackie Goldberg,5531 Monte Vista St Los Angeles CA 90042
689,Open Charter Magnet,90045,K- 5,W,4-Nick Melvoin,5540 W 77th St Los Angeles CA 90045
690,Yorkdale Elementary,90042,K- 5,C,5-Jackie Goldberg,5657 Meridian St Los Angeles CA 90042
691,Fishburn Avenue Elementary,90270,K- 5,E,5-Jackie Goldberg,5701 Fishburn Ave Maywood CA 90270
692,ICEF View Park Preparatory HS,90043,9-12,XR,1-Dr George J McKenna III,5701 S Crenshaw Blvd Los Angeles CA 90043
693,Tarzana Elementary,91356,K- 5,NW,4-Nick Melvoin,5726 Topeka Dr Tarzana CA 91356
694,The City School,90016,6- 8,XR,4-Nick Melvoin,5753 Obama Blvd Los Angeles CA 90016
695,Richard A Alonzo Community Day School,90028,7-12,W,4-Nick Melvoin,5755 Fountain Ave Los Angeles CA 90028
696,Morningside Elementary,91340,K- 5,NE,6-Kelly Gonez,576 N Maclay Ave San Fernando CA 91340
697,Maywood Center for Enriched Studies (MaCES) Magnet,90270,6-12,E,5-Jackie Goldberg,5800 King Ave Maywood CA 90270
698,Alliance Kory Hunter Middle School,90001,6- 8,XR,7-Dr Richard A Vladovic,5886 Compton Ave Los Angeles CA 90001
699,Lillian Street Elementary,90001,K- 6,E,5-Jackie Goldberg,5909 Lillian St Los Angeles CA 90001
700,Heliotrope Avenue Elementary,90270,K- 5,E,5-Jackie Goldberg,5911 Woodlawn Ave Maywood CA 90270
701,John Muir Middle School,90044,6- 8,W,1-Dr George J McKenna III,5929 S Vermont Ave Los Angeles CA 90044
702,Los Angeles Center for Enriched Studies (LACES) Magnet,90035,6-12,W,1-Dr George J McKenna III,5931 W 18th St Los Angeles CA 90035
703,59th Street Elementary,90043,K- 5,W,1-Dr George J McKenna III,5939 Second Ave Los Angeles CA 90043
704,Budlong Avenue Elementary,90044,K- 5,W,1-Dr George J McKenna III,5940 S Budlong Ave Los Angeles CA 90044
705,New Horizons Charter Academy,91601,K- 7,XR,6-Kelly Gonez,5955 Lankershim Blvd North Hollywood CA 91601
706,Rise Kohyang Elementary,90057,K- K,XR,2-Monica Garcia,600 S La Fayette Park Los Angeles CA 90057
707,Rise Kohyang High,90057,9-10,XR,2-Monica Garcia,600 S Lafayette Park Pl 2nd F Los Angeles CA 90057
708,John Burroughs Middle School Gifted Magnet,90005,6- 8,W,1-Dr George J McKenna III,600 S Mc Cadden Pl Los Angeles CA 90005
709,Rowan Avenue Elementary,90023,K- 5,E,2-Monica Garcia,600 S Rowan Ave Los Angeles CA 90023
710,Westport Heights Elementary,90045,K- 5,W,4-Nick Melvoin,6011 W 79th St Los Angeles CA 90045
711,Cheremoya Avenue Elementary,90028,K- 6,W,4-Nick Melvoin,6017 Franklin Ave Los Angeles CA 90028
712,Huntington Park Senior High,90255,9-12,E,5-Jackie Goldberg,6020 Miles Ave Huntington Park CA 90255
713,61st Street Elementary,90003,K- 6,W,1-Dr George J McKenna III,6020 S Figueroa St Los Angeles CA 90003
714,Chester W Nimitz Middle School,90255,6- 8,E,5-Jackie Goldberg,6021 Carmelita Ave Huntington Park CA 90255
715,Alliance Jack H Skirball Middle School,90059,6- 8,XR,7-Dr Richard A Vladovic,603 E 115th St Los Angeles CA 90059
716,Bridge Street Elementary,90033,K- 5,E,2-Monica Garcia,605 N Boyle Ave Los Angeles CA 90033
717,John B Monlux Elementary,91606,K- 5,NE,3-Scott M Schmerelson,6051 Bellaire Ave North Hollywood CA 91606
718,Huntington Park  Elementary DL Two-Way Im Spanish,90255,K- 2,E,5-Jackie Goldberg,6055 Corona Ave Huntington Park CA 90255
719,Huntington Park Elementary,90255,K- 5,E,5-Jackie Goldberg,6055 Corona Ave Huntington Pk CA 90255
720,Dayton Heights Elementary,90004,K- 5,C,5-Jackie Goldberg,607 N Westmoreland Ave Los Angeles CA 90004
721,Diego Rivera Learning Complex Communication & Technology,90001,9-12,S,7-Dr Richard A Vladovic,6100 S Central Ave Los Angeles CA 90001
722,Crete Academy,90043,K- 6,XR,1-Dr George J McKenna III,6103 Crenshaw Blvd Los Angeles CA 90043
723,Harold McAlister High School CYESIS,90057,6-12,C,2-Monica Garcia,611 S Carondelet St Los Angeles CA 90057
724,Gil Garcetti Learning Academy,90044,K- 6,S,7-Dr Richard A Vladovic,612 W 68th St Los Angeles CA 90044
725,Maywood Academy Senior High,90270,9-12,E,5-Jackie Goldberg,6125 Pine Ave Maywood CA 90270
726,Annandale Elementary,90042,K- 5,C,5-Jackie Goldberg,6125 Poppy Peak Dr Los Angeles CA 90042
727,Warner Avenue Elementary,90024,K- 5,W,4-Nick Melvoin,615 Holmby Ave Los Angeles CA 90024
728,Young Oak Kim Academy,90005,6- 8,C,2-Monica Garcia,615 S Shatto Pl Los Angeles CA 90005
729,Solano Avenue Elementary,90012,K- 6,E,2-Monica Garcia,615 Solano Ave Los Angeles CA 90012
730,Lockhurst Drive Charter Elementary,91367,K- 5,NW,3-Scott M Schmerelson,6170 Lockhurst Dr Woodland Hills CA 91367
731,San Antonio Elementary,90255,K- 5,E,5-Jackie Goldberg,6222 State St Huntington Park CA 90255
732,Sylvan Park Elementary,91411,K- 5,NE,6-Kelly Gonez,6238 Noble Ave Van Nuys CA 91411
733,Equitas Academy 4,90005,5- 5,XR,4-Nick Melvoin,631 S Commonwealth Ave Los Angeles CA 90005
734,Woodlawn Avenue Elementary,90201,K- 5,E,5-Jackie Goldberg,6314 Woodlawn Ave Bell CA 90201
735,Victory Boulevard Elementary,91606,K- 5,NE,6-Kelly Gonez,6315 Radford Ave North Hollywood CA 91606
736,Aldama Elementary,90042,K- 5,C,5-Jackie Goldberg,632 N Avenue 50 Los Angeles CA 90042
737,Carthay Elementary of Environmental Studies Magnet,90048,K- 5,W,1-Dr George J McKenna III,6351 W Olympic Blvd Los Angeles CA 90048
738,Linda Esperanza Marquez Senior High HPIAM,90255,9-12,E,5-Jackie Goldberg,6361 Cottage St Huntington Park CA 90255
739,Martha Escutia Primary Center,90201,K- K,E,5-Jackie Goldberg,6401 Bear Ave Bell CA 90201
740,Mountain View Elementary,91042,K- 5,NE,6-Kelly Gonez,6410 Olcott St Tujunga CA 91042
741,Magnolia Science Academy Bell @ South Region MS #2A,90201,6- 8,XR,5-Jackie Goldberg,6411 Orchard Ave Bell CA 90201
742,Los Angeles Academy Middle School STEAM Magnet,90011,6- 8,C,7-Dr Richard A Vladovic,644 E 56th St Los Angeles CA 90011
743,Alliance Dr Olga Mohan High School,90015,9-12,XR,2-Monica Garcia,644 W 17th St Los Angeles CA 90015
744,Kenter Canyon Elementary Charter,90049,K- 5,W,4-Nick Melvoin,645 N Kenter Ave Los Angeles CA 90049
745,Luther Burbank Middle School Arts/Technology/Community Mag,90042,6- 8,C,5-Jackie Goldberg,6460 N Figueroa St Los Angeles CA 90042
746,Van Nuys Elementary,91401,K- 5,NE,6-Kelly Gonez,6464 Sylmar Ave Van Nuys CA 91401
747,Luther Burbank Middle School Police Academy Magnet,90042,6- 8,C,5-Jackie Goldberg,6468 N Figueroa St Los Angeles CA 90042
748,Gardena Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,647 W Gardena Blvd Gardena CA 90247
749,John H Liechty Middle School,90017,6- 8,C,2-Monica Garcia,650 S Union Ave Los Angeles CA 90017
750,Thomas A Edison Middle School,90001,6- 8,S,7-Dr Richard A Vladovic,6500 Hooper Ave Los Angeles CA 90001
751,Independence Continuation High,91406,9-12,NW,3-Scott M Schmerelson,6501 Balboa Blvd Lake Balboa CA 91406
752,Fair Avenue Elementary,91606,K- 5,NE,6-Kelly Gonez,6501 Fair Ave North Hollywood CA 91606
753,ISANA Palmati Academy,91606,K- 5,XR,6-Kelly Gonez,6501 Laurel Canyon Blvd North Hollywood CA 91606
754,Newcastle Elementary School,91335,K- 5,NW,6-Kelly Gonez,6520 Newcastle Ave Reseda CA 91335
