,School,Zip Code,Grades,Local District,Board District,complete_address
914,Gerald A Lawson Academy of the Arts Math Science Elementary,90044,K- 6,W,1-Dr George J McKenna III,929 W 69th St Los Angeles CA 90044
915,Carlos Santana Arts Academy,91343,K- 5,NW,6-Kelly Gonez,9301 Columbus Ave North Hills CA 91343
916,Bret Harte Preparatory Middle School,90044,6- 8,W,1-Dr George J McKenna III,9301 S Hoover St Los Angeles CA 90044
917,KIPP Corazon Preparatory Academy,90280,K- 1,XR,5-Jackie Goldberg,9325 Long Beach Bl South Gate CA 90280
918,Plummer Elementary,91343,K- 6,NW,6-Kelly Gonez,9340 Noble Ave North Hills CA 91343
919,Oliver Wendell Holmes Middle School,91325,6- 8,NW,3-Scott M Schmerelson,9351 Paso Robles Ave Northridge CA 91325
920,Valor Academy High School,91343,9- 9,XR,6-Kelly Gonez,9356 Lemona Ave North Hills CA 91343
921,Liggett Street Elementary,91402,K- 5,NW,6-Kelly Gonez,9373 Moonbeam Ave Panorama City CA 91402
922,Vena Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,9377 Vena Ave Arleta CA 91331
923,Vena Avenue Elementary Gifted Magnet,91331,2- 5,NE,6-Kelly Gonez,9377 Vena Ave Pacoima CA 91331
924,Bert Corona Charter School,91331,6- 8,XR,6-Kelly Gonez,9400 Remick Ave Pacoima CA 91331
925,Olympic Primary Center,90015,K- K,C,2-Monica Garcia,950 S Albany St Los Angeles CA 90015
926,Downtown Value School,90015,K- 8,XR,2-Monica Garcia,950 W Washington Blvd Los Angeles CA 90015
927,Vine Street Elementary,90038,K- 6,W,4-Nick Melvoin,955 N Vine St Los Angeles CA 90038
928,Northridge Academy Senior High,91325,9-12,NW,3-Scott M Schmerelson,9601 Zelzah Ave Northridge CA 91325
929,West Hollywood Elementary,90069,K- 5,W,4-Nick Melvoin,970 N Hammond St West Hollywood CA 90069
930,Alliance College Ready Middle Academy #4,90003,6- 8,XR,7-Dr Richard A Vladovic,9719 S Main St Los Angeles CA 90003
931,Tweedy Elementary,90280,K- 5,E,5-Jackie Goldberg,9724 Pinehurst Ave South Gate CA 90280
932,Castle Heights Elementary,90034,K- 5,W,1-Dr George J McKenna III,9755 Cattaraugus Ave Los Angeles CA 90034
933,Superior Street Elementary,91311,K- 5,NW,3-Scott M Schmerelson,9756 Oso Ave Chatsworth CA 91311
